path,id,lon,lat,mc_id,class,color,Continent
mc_-0.98_7.77_1.3_20230909_0.zarr,mc_-0.98_7.77_1.3_20230909_0,-0.98,7.77,mc_-0.98_7.77_1.3_20230909_0,broadtree,#9e9e9e,Africa
mc_-1.72_8.08_1.3_20230909_0.zarr,mc_-1.72_8.08_1.3_20230909_0,-1.72,8.08,mc_-1.72_8.08_1.3_20230909_0,broadtree,#9e9e9e,Africa
mc_-10.73_10.06_1.3_20230909_0.zarr,mc_-10.73_10.06_1.3_20230909_0,-10.73,10.06,mc_-10.73_10.06_1.3_20230909_0,broadtree,#9e9e9e,Africa
mc_-12.08_10.40_1.3_20230910_0.zarr,mc_-12.08_10.40_1.3_20230910_0,-12.08,10.4,mc_-12.08_10.40_1.3_20230910_0,broadtree,#9e9e9e,Africa
mc_-12.10_10.37_1.3_20230910_0.zarr,mc_-12.10_10.37_1.3_20230910_0,-12.1,10.37,mc_-12.10_10.37_1.3_20230910_0,broadtree,#9e9e9e,Africa
mc_-12.25_10.68_1.3_20230910_0.zarr,mc_-12.25_10.68_1.3_20230910_0,-12.25,10.68,mc_-12.25_10.68_1.3_20230910_0,broadtree,#9e9e9e,Africa
mc_-12.41_11.07_1.3_20230910_0.zarr,mc_-12.41_11.07_1.3_20230910_0,-12.41,11.07,mc_-12.41_11.07_1.3_20230910_0,broadtree,#9e9e9e,Africa
mc_-2.41_9.28_1.3_20230910_0.zarr,mc_-2.41_9.28_1.3_20230910_0,-2.41,9.28,mc_-2.41_9.28_1.3_20230910_0,broadtree,#9e9e9e,Africa
mc_-3.56_5.19_1.3_20230910_0.zarr,mc_-3.56_5.19_1.3_20230910_0,-3.56,5.19,mc_-3.56_5.19_1.3_20230910_0,broadtree,#9e9e9e,Africa
mc_-4.35_7.47_1.3_20230910_0.zarr,mc_-4.35_7.47_1.3_20230910_0,-4.35,7.47,mc_-4.35_7.47_1.3_20230910_0,broadtree,#9e9e9e,Africa
mc_-6.03_32.57_1.3_20230916_0.zarr,mc_-6.03_32.57_1.3_20230916_0,-6.03,32.57,mc_-6.03_32.57_1.3_20230916_0,broadtree,#9e9e9e,Africa
mc_-6.27_8.94_1.3_20230916_0.zarr,mc_-6.27_8.94_1.3_20230916_0,-6.27,8.94,mc_-6.27_8.94_1.3_20230916_0,broadtree,#9e9e9e,Africa
mc_-6.48_34.52_1.3_20230916_0.zarr,mc_-6.48_34.52_1.3_20230916_0,-6.48,34.52,mc_-6.48_34.52_1.3_20230916_0,broadtree,#9e9e9e,Africa
mc_-6.67_7.98_1.3_20230916_0.zarr,mc_-6.67_7.98_1.3_20230916_0,-6.67,7.98,mc_-6.67_7.98_1.3_20230916_0,broadtree,#9e9e9e,Africa
mc_-7.55_9.50_1.3_20230928_0.zarr,mc_-7.55_9.50_1.3_20230928_0,-7.55,9.5,mc_-7.55_9.50_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_-7.58_9.49_1.3_20230928_0.zarr,mc_-7.58_9.49_1.3_20230928_0,-7.58,9.49,mc_-7.58_9.49_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_-7.84_10.00_1.3_20230928_0.zarr,mc_-7.84_10.00_1.3_20230928_0,-7.84,10.0,mc_-7.84_10.00_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_-8.34_7.64_1.3_20230928_0.zarr,mc_-8.34_7.64_1.3_20230928_0,-8.34,7.64,mc_-8.34_7.64_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_-9.29_10.34_1.3_20230928_0.zarr,mc_-9.29_10.34_1.3_20230928_0,-9.29,10.34,mc_-9.29_10.34_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_-9.30_10.41_1.3_20230928_0.zarr,mc_-9.30_10.41_1.3_20230928_0,-9.3,10.41,mc_-9.30_10.41_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_-9.31_9.23_1.3_20230928_0.zarr,mc_-9.31_9.23_1.3_20230928_0,-9.31,9.23,mc_-9.31_9.23_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_-9.35_10.39_1.3_20230928_0.zarr,mc_-9.35_10.39_1.3_20230928_0,-9.35,10.39,mc_-9.35_10.39_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_0.79_9.26_1.3_20230928_0.zarr,mc_0.79_9.26_1.3_20230928_0,0.79,9.26,mc_0.79_9.26_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_1.56_11.49_1.3_20230928_0.zarr,mc_1.56_11.49_1.3_20230928_0,1.56,11.49,mc_1.56_11.49_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_1.66_9.01_1.3_20230928_0.zarr,mc_1.66_9.01_1.3_20230928_0,1.66,9.01,mc_1.66_9.01_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_1.80_36.55_1.3_20230928_0.zarr,mc_1.80_36.55_1.3_20230928_0,1.8,36.55,mc_1.80_36.55_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.02_5.15_1.3_20230928_0.zarr,mc_10.02_5.15_1.3_20230928_0,10.02,5.15,mc_10.02_5.15_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.06_5.46_1.3_20230928_0.zarr,mc_10.06_5.46_1.3_20230928_0,10.06,5.46,mc_10.06_5.46_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.15_36.38_1.3_20230928_0.zarr,mc_10.15_36.38_1.3_20230928_0,10.15,36.38,mc_10.15_36.38_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.18_5.17_1.3_20230928_0.zarr,mc_10.18_5.17_1.3_20230928_0,10.18,5.17,mc_10.18_5.17_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.18_5.99_1.3_20230928_0.zarr,mc_10.18_5.99_1.3_20230928_0,10.18,5.99,mc_10.18_5.99_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.19_6.00_1.3_20230928_0.zarr,mc_10.19_6.00_1.3_20230928_0,10.19,6.0,mc_10.19_6.00_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.25_5.64_1.3_20230928_0.zarr,mc_10.25_5.64_1.3_20230928_0,10.25,5.64,mc_10.25_5.64_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.40_5.52_1.3_20230928_0.zarr,mc_10.40_5.52_1.3_20230928_0,10.4,5.52,mc_10.40_5.52_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.43_5.50_1.3_20230928_0.zarr,mc_10.43_5.50_1.3_20230928_0,10.43,5.5,mc_10.43_5.50_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.43_6.00_1.3_20230928_0.zarr,mc_10.43_6.00_1.3_20230928_0,10.43,6.0,mc_10.43_6.00_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.44_6.00_1.3_20230928_0.zarr,mc_10.44_6.00_1.3_20230928_0,10.44,6.0,mc_10.44_6.00_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.62_5.50_1.3_20230928_0.zarr,mc_10.62_5.50_1.3_20230928_0,10.62,5.5,mc_10.62_5.50_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.63_5.52_1.3_20230928_0.zarr,mc_10.63_5.52_1.3_20230928_0,10.63,5.52,mc_10.63_5.52_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.68_6.22_1.3_20230928_0.zarr,mc_10.68_6.22_1.3_20230928_0,10.68,6.22,mc_10.68_6.22_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.70_5.92_1.3_20230928_0.zarr,mc_10.70_5.92_1.3_20230928_0,10.7,5.92,mc_10.70_5.92_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.80_4.89_1.3_20230928_0.zarr,mc_10.80_4.89_1.3_20230928_0,10.8,4.89,mc_10.80_4.89_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_10.89_5.74_1.3_20230928_0.zarr,mc_10.89_5.74_1.3_20230928_0,10.89,5.74,mc_10.89_5.74_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_11.26_4.73_1.3_20230928_0.zarr,mc_11.26_4.73_1.3_20230928_0,11.26,4.73,mc_11.26_4.73_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_11.32_4.75_1.3_20230928_0.zarr,mc_11.32_4.75_1.3_20230928_0,11.32,4.75,mc_11.32_4.75_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_11.80_6.74_1.3_20230928_0.zarr,mc_11.80_6.74_1.3_20230928_0,11.8,6.74,mc_11.80_6.74_1.3_20230928_0,broadtree,#9e9e9e,Africa
